"agency_cd","site_no","datetime","X165986_00060_00001","X165986_00060_00001_cd","X165987_00060_00002","X165987_00060_00002_cd","X84936_00060_00003","X84936_00060_00003_cd","X84937_00065_00001","X84937_00065_00001_cd","X84938_00065_00002","X84938_00065_00002_cd","X84939_00065_00003","X84939_00065_00003_cd"
"USGS",2085000,"10/31/27",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/1/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/2/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/3/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/4/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/5/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/6/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/7/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/8/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/9/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/10/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/11/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/12/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/13/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/14/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/15/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/16/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/17/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/18/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/19/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/20/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/21/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/22/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/23/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/24/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/25/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/26/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/27/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/28/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/29/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"11/30/27",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/1/27",NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/2/27",NA,"",NA,"",182,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/3/27",NA,"",NA,"",572,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/4/27",NA,"",NA,"",641,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/5/27",NA,"",NA,"",249,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/6/27",NA,"",NA,"",221,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/7/27",NA,"",NA,"",249,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/8/27",NA,"",NA,"",353,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/9/27",NA,"",NA,"",291,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/10/27",NA,"",NA,"",158,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/11/27",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/12/27",NA,"",NA,"",68,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/13/27",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/14/27",NA,"",NA,"",51,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/15/27",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/16/27",NA,"",NA,"",559,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/17/27",NA,"",NA,"",320,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/18/27",NA,"",NA,"",86,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/19/27",NA,"",NA,"",58,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/20/27",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/21/27",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/22/27",NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/23/27",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/24/27",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/25/27",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/26/27",NA,"",NA,"",43,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/27/27",NA,"",NA,"",43,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/28/27",NA,"",NA,"",41,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/29/27",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/30/27",NA,"",NA,"",86,"A",NA,"",NA,"",NA,""
"USGS",2085000,"12/31/27",NA,"",NA,"",158,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/1/28",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/2/28",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/3/28",NA,"",NA,"",56,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/4/28",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/5/28",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/6/28",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/7/28",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/8/28",NA,"",NA,"",41,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/9/28",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/10/28",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/11/28",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/12/28",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/13/28",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/14/28",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/15/28",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/16/28",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/17/28",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/18/28",NA,"",NA,"",29,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/19/28",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/20/28",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/21/28",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/22/28",NA,"",NA,"",38,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/23/28",NA,"",NA,"",36,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/24/28",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/25/28",NA,"",NA,"",208,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/26/28",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/27/28",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/28/28",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/29/28",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/30/28",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"1/31/28",NA,"",NA,"",221,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/1/28",NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/2/28",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/3/28",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/4/28",NA,"",NA,"",46,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/5/28",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/6/28",NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/7/28",NA,"",NA,"",60,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/8/28",NA,"",NA,"",562,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/9/28",NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/10/28",NA,"",NA,"",102,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/11/28",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/12/28",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/13/28",NA,"",NA,"",96,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/14/28",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/15/28",NA,"",NA,"",263,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/16/28",NA,"",NA,"",140,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/17/28",NA,"",NA,"",67,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/18/28",NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/19/28",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/20/28",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/21/28",NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/22/28",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/23/28",NA,"",NA,"",108,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/24/28",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/25/28",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/26/28",NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/27/28",NA,"",NA,"",51,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/28/28",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"2/29/28",NA,"",NA,"",45,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/1/28",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/2/28",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/3/28",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/4/28",NA,"",NA,"",36,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/5/28",NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/6/28",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/7/28",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/8/28",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/9/28",NA,"",NA,"",118,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/10/28",NA,"",NA,"",66,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/11/28",NA,"",NA,"",182,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/12/28",NA,"",NA,"",91,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/13/28",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/14/28",NA,"",NA,"",58,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/15/28",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/16/28",NA,"",NA,"",66,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/17/28",NA,"",NA,"",124,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/18/28",NA,"",NA,"",563,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/19/28",NA,"",NA,"",146,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/20/28",NA,"",NA,"",102,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/21/28",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/22/28",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/23/28",NA,"",NA,"",56,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/24/28",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/25/28",NA,"",NA,"",68,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/26/28",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/27/28",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/28/28",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/29/28",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/30/28",NA,"",NA,"",42,"A",NA,"",NA,"",NA,""
"USGS",2085000,"3/31/28",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/1/28",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/2/28",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/3/28",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/4/28",NA,"",NA,"",35,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/5/28",NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/6/28",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/7/28",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/8/28",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/9/28",NA,"",NA,"",29,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/10/28",NA,"",NA,"",124,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/11/28",NA,"",NA,"",574,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/12/28",NA,"",NA,"",277,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/13/28",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/14/28",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/15/28",NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/16/28",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/17/28",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/18/28",NA,"",NA,"",64,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/19/28",NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/20/28",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/21/28",NA,"",NA,"",65,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/22/28",NA,"",NA,"",130,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/23/28",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/24/28",NA,"",NA,"",208,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/25/28",NA,"",NA,"",86,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/26/28",NA,"",NA,"",67,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/27/28",NA,"",NA,"",664,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/28/28",NA,"",NA,"",1520,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/29/28",NA,"",NA,"",208,"A",NA,"",NA,"",NA,""
"USGS",2085000,"4/30/28",NA,"",NA,"",158,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/1/28",NA,"",NA,"",130,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/2/28",NA,"",NA,"",102,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/3/28",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/4/28",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/5/28",NA,"",NA,"",58,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/6/28",NA,"",NA,"",52,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/7/28",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/8/28",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/9/28",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/10/28",NA,"",NA,"",56,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/11/28",NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/12/28",NA,"",NA,"",46,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/13/28",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/14/28",NA,"",NA,"",43,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/15/28",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/16/28",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/17/28",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/18/28",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/19/28",NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/20/28",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/21/28",NA,"",NA,"",52,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/22/28",NA,"",NA,"",38,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/23/28",NA,"",NA,"",36,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/24/28",NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/25/28",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/26/28",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/27/28",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/28/28",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/29/28",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/30/28",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"5/31/28",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/1/28",NA,"",NA,"",28,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/2/28",NA,"",NA,"",26,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/3/28",NA,"",NA,"",51,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/4/28",NA,"",NA,"",353,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/5/28",NA,"",NA,"",517,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/6/28",NA,"",NA,"",182,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/7/28",NA,"",NA,"",91,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/8/28",NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/9/28",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/10/28",NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/11/28",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/12/28",NA,"",NA,"",38,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/13/28",NA,"",NA,"",35,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/14/28",NA,"",NA,"",32,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/15/28",NA,"",NA,"",29,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/16/28",NA,"",NA,"",27,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/17/28",NA,"",NA,"",25,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/18/28",NA,"",NA,"",24,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/19/28",NA,"",NA,"",22,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/20/28",NA,"",NA,"",20,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/21/28",NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/22/28",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/23/28",NA,"",NA,"",14,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/24/28",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/25/28",NA,"",NA,"",17,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/26/28",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/27/28",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/28/28",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/29/28",NA,"",NA,"",28,"A",NA,"",NA,"",NA,""
"USGS",2085000,"6/30/28",NA,"",NA,"",22,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/1/28",NA,"",NA,"",20,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/2/28",NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/3/28",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/4/28",NA,"",NA,"",14,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/5/28",NA,"",NA,"",13,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/6/28",NA,"",NA,"",12,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/7/28",NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/8/28",NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/9/28",NA,"",NA,"",9.8,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/10/28",NA,"",NA,"",17,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/11/28",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/12/28",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/13/28",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/14/28",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/15/28",NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/16/28",NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/17/28",NA,"",NA,"",14,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/18/28",NA,"",NA,"",13,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/19/28",NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/20/28",NA,"",NA,"",10,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/21/28",NA,"",NA,"",9.4,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/22/28",NA,"",NA,"",8.7,"A",NA,"",NA,"",NA,""
"USGS",2085000,"7/23/28",NA,"",NA,"",12,"A",NA,"",NA,"",NA,""
